Banco,Tasa,CAE,Div_SSEG,SEG_INCSIS,SEG_DESG,PRIM_DIV,COSTO_TOTCRED,TOT_DIVUF,TOT_DIV$,Plazo,TOT_Seg,Dividendo_CSEG,ValorProp,MontoCre,Fecha,Producto,PlazoFijo
SANT1.7-2.5,"3,69","4,12","33,92","1,13","0,62",,,"35,67",,"30,00","1,74","35,67","8.750,00","7.000,00",27/02/2020,HIP-FIJA,
SANT2.5-5,"2,37","2,93","32,29","0,29","0,16",,,"32,74",,"5,00","0,45","32,74","2.250,00","1.800,00",27/02/2020,HIP-FIJA,
SANT2.5-5,"2,37","2,93","53,82","0,48","0,26",,,"54,57",,"5,00","0,75","54,57","3.750,00","3.000,00",27/02/2020,HIP-FIJA,
SANT2.5-5,"2,37","2,93","125,58","1,13","0,62",,,"127,32",,"5,00","1,74","127,32","8.750,00","7.000,00",27/02/2020,HIP-FIJA,
SANT2.5-5,"2,37","2,92","21,05","0,29","0,16",,,"21,50",,"8,00","0,45","21,50","2.250,00","1.800,00",27/02/2020,HIP-FIJA,
SANT2.5-5,"2,37","2,92","35,08","0,48","0,26",,,"35,83",,"8,00","0,75","35,83","3.750,00","3.000,00",27/02/2020,HIP-FIJA,
SANT2.5-5,"2,37","2,92","81,86","1,13","0,62",,,"83,61",,"8,00","1,74","83,61","8.750,00","7.000,00",27/02/2020,HIP-FIJA,
SANT2.5-5,"2,71","3,25","17,59","0,29","0,16",,,"18,04",,"10,00","0,45","18,04","2.250,00","1.800,00",27/02/2020,HIP-FIJA,
SANT2.5-5,"2,71","3,25","29,32","0,48","0,26",,,"30,06",,"10,00","0,75","30,06","3.750,00","3.000,00",27/02/2020,HIP-FIJA,
SANT2.5-5,"2,71","3,25","68,40","1,13","0,62",,,"70,15",,"10,00","1,74","70,15","8.750,00","7.000,00",27/02/2020,HIP-FIJA,
SANT2.5-5,"2,71","3,24","15,11","0,29","0,16",,,"15,55",,"12,00","0,45","15,55","2.250,00","1.800,00",27/02/2020,HIP-FIJA,
